usage_kwh,is_scheduled_occupied,is_scheduled_workday,max_temp_f,max_temp_c,humidity
6.203125,False,Working,21.0,-6.0,68.0
3.578125,False,Working,21.0,-6.0,68.0
5.90625,False,Working,20.0,-6.0,68.0
3.28125,False,Working,20.0,-6.0,68.0
6.0,False,Working,20.0,-6.0,68.0
3.25,False,Working,20.0,-6.0,68.0
6.140625,False,Working,20.0,-7.0,68.0
3.546875,False,Working,20.0,-7.0,68.0
5.9375,False,Working,20.0,-7.0,68.0
3.453125,False,Working,20.0,-7.0,68.0
6.515625,False,Working,19.0,-7.0,68.0
3.5,False,Working,19.0,-7.0,68.0
6.3125,False,Working,19.0,-7.0,68.0
3.359375,False,Working,19.0,-7.0,68.0
6.546875,False,Working,18.0,-8.0,63.0
3.3125,False,Working,18.0,-8.0,63.0
6.421875,False,Working,18.0,-8.0,63.0
3.359375,False,Working,18.0,-8.0,63.0
6.3125,False,Working,18.0,-8.0,68.0
3.671875,False,Working,18.0,-8.0,68.0
6.25,False,Working,18.0,-8.0,68.0
3.453125,False,Working,18.0,-8.0,68.0
10.546875,False,Working,18.0,-8.0,73.0
6.640625,False,Working,18.0,-8.0,73.0
12.765625,False,Working,18.0,-8.0,73.0
6.90625,False,Working,18.0,-8.0,73.0
13.671875,False,Working,17.0,-9.0,73.0
7.1875,False,Working,17.0,-9.0,73.0
13.390625,False,Working,17.0,-9.0,73.0
6.15625,False,Working,17.0,-9.0,73.0
11.6875,False,Working,17.0,-9.0,73.0
6.078125,False,Working,17.0,-9.0,73.0
12.09375,False,Working,17.0,-9.0,73.0
5.890625,False,Working,17.0,-9.0,73.0
11.609375,True,Working,19.0,-7.0,68.0
5.90625,True,Working,19.0,-7.0,68.0
11.78125,True,Working,19.0,-7.0,68.0
6.109375,True,Working,19.0,-7.0,68.0
10.734375,True,Working,22.0,-6.0,69.0
5.578125,True,Working,22.0,-6.0,69.0
10.484375,True,Working,22.0,-6.0,69.0
5.84375,True,Working,22.0,-6.0,69.0
11.203125,True,Working,26.0,-4.0,64.0
5.6875,True,Working,26.0,-4.0,64.0
10.75,True,Working,26.0,-4.0,64.0
5.296875,True,Working,26.0,-4.0,64.0
10.265625,True,Working,28.0,-2.0,64.0
5.453125,True,Working,28.0,-2.0,64.0
11.109375,True,Working,28.0,-2.0,64.0
5.8125,True,Working,28.0,-2.0,64.0
11.125,True,Working,30.0,-1.0,59.0
5.6875,True,Working,30.0,-1.0,59.0
10.921875,True,Working,30.0,-1.0,59.0
5.859375,True,Working,30.0,-1.0,59.0
10.828125,True,Working,31.0,-1.0,55.0
6.234375,True,Working,31.0,-1.0,55.0
11.59375,True,Working,31.0,-1.0,55.0
6.234375,True,Working,31.0,-1.0,55.0
11.25,True,Working,31.0,-1.0,60.0
6.078125,True,Working,31.0,-1.0,60.0
11.953125,True,Working,31.0,-1.0,60.0
6.015625,True,Working,31.0,-1.0,60.0
13.9375,True,Working,29.0,-1.0,60.0
7.125,True,Working,29.0,-1.0,60.0
13.4375,True,Working,29.0,-1.0,60.0
7.3125,True,Working,29.0,-1.0,60.0
13.546875,True,Working,27.0,-3.0,60.0
6.765625,True,Working,27.0,-3.0,60.0
13.484375,True,Working,27.0,-3.0,60.0
7.0,True,Working,27.0,-3.0,60.0
13.1875,True,Working,26.0,-4.0,64.0
6.78125,True,Working,26.0,-4.0,64.0
12.5625,True,Working,26.0,-4.0,64.0
6.75,True,Working,26.0,-4.0,64.0
8.21875,False,Working,24.0,-4.0,64.0
3.3125,False,Working,24.0,-4.0,64.0
5.4375,False,Working,24.0,-4.0,64.0
3.140625,False,Working,24.0,-4.0,64.0
5.90625,False,Working,24.0,-5.0,64.0
3.28125,False,Working,24.0,-5.0,64.0
5.796875,False,Working,24.0,-5.0,64.0
3.015625,False,Working,24.0,-5.0,64.0
5.453125,False,Working,23.0,-5.0,64.0
3.34375,False,Working,23.0,-5.0,64.0
5.65625,False,Working,23.0,-5.0,64.0
3.21875,False,Working,23.0,-5.0,64.0
5.765625,False,Working,22.0,-5.0,64.0
3.046875,False,Working,22.0,-5.0,64.0
5.6875,False,Working,22.0,-5.0,64.0
3.15625,False,Working,22.0,-5.0,64.0
5.71875,False,Working,22.0,-6.0,69.0
2.953125,False,Working,22.0,-6.0,69.0
5.78125,False,Working,22.0,-6.0,69.0
2.921875,False,Working,22.0,-6.0,69.0
5.609375,False,Working,21.0,-6.0,69.0
3.328125,False,Working,21.0,-6.0,69.0
5.59375,False,Working,21.0,-6.0,69.0
3.15625,False,Working,21.0,-6.0,69.0
5.703125,False,Working,20.0,-6.0,69.0
3.09375,False,Working,20.0,-6.0,69.0
5.703125,False,Working,20.0,-6.0,69.0
3.265625,False,Working,20.0,-6.0,69.0
6.015625,False,Working,20.0,-7.0,69.0
2.765625,False,Working,20.0,-7.0,69.0
5.90625,False,Working,20.0,-7.0,69.0
3.125,False,Working,20.0,-7.0,69.0
6.375,False,Working,19.0,-7.0,69.0
3.46875,False,Working,19.0,-7.0,69.0
6.25,False,Working,19.0,-7.0,69.0
3.40625,False,Working,19.0,-7.0,69.0
6.203125,False,Working,18.0,-8.0,69.0
3.453125,False,Working,18.0,-8.0,69.0
6.265625,False,Working,18.0,-8.0,69.0
3.3125,False,Working,18.0,-8.0,69.0
6.234375,False,Working,18.0,-8.0,69.0
3.578125,False,Working,18.0,-8.0,69.0
5.90625,False,Working,18.0,-8.0,69.0
3.453125,False,Working,18.0,-8.0,69.0
10.015625,False,Working,17.0,-8.0,80.0
6.46875,False,Working,17.0,-8.0,80.0
12.71875,False,Working,17.0,-8.0,80.0
6.921875,False,Working,17.0,-8.0,80.0
12.5,False,Working,16.0,-9.0,86.0
6.84375,False,Working,16.0,-9.0,86.0
12.984375,False,Working,16.0,-9.0,86.0
6.328125,False,Working,16.0,-9.0,86.0
11.828125,False,Working,16.0,-9.0,73.0
6.328125,False,Working,16.0,-9.0,73.0
12.28125,False,Working,16.0,-9.0,73.0
6.3125,False,Working,16.0,-9.0,73.0
11.75,True,Working,18.0,-8.0,73.0
6.59375,True,Working,18.0,-8.0,73.0
12.09375,True,Working,18.0,-8.0,73.0
6.53125,True,Working,18.0,-8.0,73.0
12.625,True,Working,22.0,-6.0,73.0
6.546875,True,Working,22.0,-6.0,73.0
12.0625,True,Working,22.0,-6.0,73.0
6.078125,True,Working,22.0,-6.0,73.0
11.84375,True,Working,25.0,-4.0,67.0
5.671875,True,Working,25.0,-4.0,67.0
11.46875,True,Working,25.0,-4.0,67.0
5.53125,True,Working,25.0,-4.0,67.0
11.109375,True,Working,28.0,-2.0,62.0
