,usage_kwh,timestamp
257,6.40625,2022-01-03T16:15:00
258,12.25,2022-01-03T16:30:00
259,6.421875,2022-01-03T16:45:00
260,12.46875,2022-01-03T17:00:00
261,6.140625,2022-01-03T17:15:00
262,12.28125,2022-01-03T17:30:00
263,6.171875,2022-01-03T17:45:00
264,12.453125,2022-01-03T18:00:00
265,6.125,2022-01-03T18:15:00
266,12.546875,2022-01-03T18:30:00
267,6.40625,2022-01-03T18:45:00
268,8.34375,2022-01-03T19:00:00
269,3.3125,2022-01-03T19:15:00
270,5.625,2022-01-03T19:30:00
271,2.953125,2022-01-03T19:45:00
272,5.828125,2022-01-03T20:00:00
273,3.046875,2022-01-03T20:15:00
274,5.859375,2022-01-03T20:30:00
275,2.96875,2022-01-03T20:45:00
276,5.96875,2022-01-03T21:00:00
277,3.046875,2022-01-03T21:15:00
278,5.875,2022-01-03T21:30:00
279,3.3125,2022-01-03T21:45:00
280,5.9375,2022-01-03T22:00:00
281,3.0,2022-01-03T22:15:00
282,6.25,2022-01-03T22:30:00
283,5.125,2022-01-03T22:45:00
284,4.078125,2022-01-03T23:00:00
285,3.265625,2022-01-03T23:15:00
286,6.3125,2022-01-03T23:30:00
287,3.1875,2022-01-03T23:45:00
288,6.1875,2022-01-04T00:00:00
289,3.203125,2022-01-04T00:15:00
290,6.203125,2022-01-04T00:30:00
291,3.578125,2022-01-04T00:45:00
292,5.90625,2022-01-04T01:00:00
293,3.28125,2022-01-04T01:15:00
294,6.0,2022-01-04T01:30:00
295,3.25,2022-01-04T01:45:00
296,6.140625,2022-01-04T02:00:00
297,3.546875,2022-01-04T02:15:00
298,5.9375,2022-01-04T02:30:00
299,3.453125,2022-01-04T02:45:00
300,6.515625,2022-01-04T03:00:00
301,3.5,2022-01-04T03:15:00
302,6.3125,2022-01-04T03:30:00
303,3.359375,2022-01-04T03:45:00
304,6.546875,2022-01-04T04:00:00
305,3.3125,2022-01-04T04:15:00
306,6.421875,2022-01-04T04:30:00
307,3.359375,2022-01-04T04:45:00
308,6.3125,2022-01-04T05:00:00
309,3.671875,2022-01-04T05:15:00
310,6.25,2022-01-04T05:30:00
311,3.453125,2022-01-04T05:45:00
312,10.546875,2022-01-04T06:00:00
313,6.640625,2022-01-04T06:15:00
314,12.765625,2022-01-04T06:30:00
315,6.90625,2022-01-04T06:45:00
316,13.671875,2022-01-04T07:00:00
317,7.1875,2022-01-04T07:15:00
318,13.390625,2022-01-04T07:30:00
319,6.15625,2022-01-04T07:45:00
320,11.6875,2022-01-04T08:00:00
321,6.078125,2022-01-04T08:15:00
322,12.09375,2022-01-04T08:30:00
323,5.890625,2022-01-04T08:45:00
324,11.609375,2022-01-04T09:00:00
325,5.90625,2022-01-04T09:15:00
326,11.78125,2022-01-04T09:30:00
327,6.109375,2022-01-04T09:45:00
328,10.734375,2022-01-04T10:00:00
329,5.578125,2022-01-04T10:15:00
330,10.484375,2022-01-04T10:30:00
331,5.84375,2022-01-04T10:45:00
332,11.203125,2022-01-04T11:00:00
333,5.6875,2022-01-04T11:15:00
334,10.75,2022-01-04T11:30:00
335,5.296875,2022-01-04T11:45:00
336,10.265625,2022-01-04T12:00:00
337,5.453125,2022-01-04T12:15:00
338,11.109375,2022-01-04T12:30:00
339,5.8125,2022-01-04T12:45:00
340,11.125,2022-01-04T13:00:00
341,5.6875,2022-01-04T13:15:00
342,10.921875,2022-01-04T13:30:00
343,5.859375,2022-01-04T13:45:00
344,10.828125,2022-01-04T14:00:00
345,6.234375,2022-01-04T14:15:00
346,11.59375,2022-01-04T14:30:00
